﻿pro_rank,title,open_date,total_profit,ticket,total_ticket,screen,screen_shot,make_c,dist_c,mov_class,genre,director,actor,actorS,D,DsumP,DavgP,DminP,DmaxP,mc,MsumP,MavgP,MminP,MmaxP,A,AsumP,AavgP,AminP,AmaxP,Ass,ASsumP,ASavgP,ASminP,ASmaxP
223,부라더,2017.11.2,11783109998,1492903,1492903,889,54976,"(주)홍필름,(주)수필름",메가박스중앙(주)플러스엠,12세이상관람가,코미디,장유정,마동석,이동휘,장유정,11783109998,11783109998,11783109998,11783109998,"(주)홍필름,(주)수필름",11783109998,11783109998,11783109998,11783109998,마동석,77576346577,25858782192,9471138230,56322098349,이동휘,11783109998,11783109998,11783109998,11783109998
332,불한당: 나쁜 놈들의 세상,2017.5.17,7674017125,953985,953985,860,38916,"씨제이이앤엠(주),(주)바른손",씨제이이앤엠(주),청소년관람불가,"범죄,액션,드라마",변성현,설경구,임시완,변성현,7674017125,7674017125,7674017125,7674017125,"씨제이이앤엠(주),(주)바른손",7674017125,7674017125,7674017125,7674017125,설경구,29049304617,14524652309,7674017125,21375287492,임시완,7674017125,7674017125,7674017125,7674017125
854,뷰티풀 투모로우,2017.10.26,552273700,63279,63279,47,1390,(주)글러브엔터테인먼트,씨제이 씨지브이(CJ CGV)(주),12세이상관람가,드라마,장재혁,박효신,정재일,장재혁,552273700,552273700,552273700,552273700,(주)글러브엔터테인먼트,552273700,552273700,552273700,552273700,박효신,552273700,552273700,552273700,552273700,정재일,552273700,552273700,552273700,552273700
239,브이아이피,2017.8.23,10956621835,1373316,1373316,996,44650,"(주)영화사 금월,(주)페퍼민트앤컴퍼니",워너브러더스 코리아(주),청소년관람불가,"범죄,드라마",박훈정,강소백,장동건,박훈정,38198663298,19099331649,10956621835,27242041463,"(주)영화사 금월,(주)페퍼민트앤컴퍼니",38198663298,19099331649,10956621835,27242041463,강소백,10956621835,10956621835,10956621835,10956621835,장동건,14925959359,7462979680,3969337524,10956621835
934,비밥바룰라,2018.1.24,322062200,47432,47432,347,4055,영화사김치(주),씨네그루(주)키다리이엔티,12세이상관람가,코미디,이성재,박인환,신구,이성재,322062200,322062200,322062200,322062200,영화사김치(주),5376819595,2688409798,322062200,5054757395,박인환,322062200,322062200,322062200,322062200,신구,10227469022,5113734511,322062200,9905406822
743,비정규직 특수요원,2017.3.16,1150732700,149719,149719,497,11132,"(주)스톰픽쳐스코리아,컴퍼니에이이엔티(주)","(주)이수C&E,(주)스톰픽쳐스코리아",15세이상관람가,"코미디,액션",김덕수,강예원,한채아,김덕수,1150732700,1150732700,1150732700,1150732700,"(주)스톰픽쳐스코리아,컴퍼니에이이엔티(주)",1150732700,1150732700,1150732700,1150732700,강예원,1150732700,1150732700,1150732700,1150732700,한채아,1150732700,1150732700,1150732700,1150732700
386,뽀로로 극장판 공룡섬 대모험,2017.12.7,6226832300,827040,827040,803,19925,(주)오콘,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"김현호,윤제완",이선,이미자,"김현호,윤제완",6226832300,6226832300,6226832300,6226832300,(주)오콘,6226832300,6226832300,6226832300,6226832300,이선,6226832300,6226832300,6226832300,6226832300,이미자,6226832300,6226832300,6226832300,6226832300
243,사라진 밤,2018.3.7,10697981316,1315726,1315726,925,60136,"(주)싸이더스,(주)엠씨엠씨,(주)더블앤조이픽쳐스",씨네그루(주)키다리이엔티,15세이상관람가,스릴러,이창희,김상경,김강우,이창희,10697981316,10697981316,10697981316,10697981316,"(주)싸이더스,(주)엠씨엠씨,(주)더블앤조이픽쳐스",10697981316,10697981316,10697981316,10697981316,김상경,12426703616,6213351808,1728722300,10697981316,김강우,10697981316,10697981316,10697981316,10697981316
590,사랑하기 때문에,2017.1.4,2673489440,340936,340936,542,15294,(주)에이디사공육,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"코미디,멜로/로맨스",주지홍,차태현,김유정,주지홍,2673489440,2673489440,2673489440,2673489440,(주)에이디사공육,24066942087,12033471044,2673489440,21393452647,차태현,2673489440,2673489440,2673489440,2673489440,김유정,2673489440,2673489440,2673489440,2673489440
928,산상수훈,2017.12.7,335696650,46026,46026,71,1238,(주)그란,"이언픽쳐스,(주)그란",전체관람가,드라마,유영의,백서빈,최이선,유영의,335696650,335696650,335696650,335696650,(주)그란,335696650,335696650,335696650,335696650,백서빈,335696650,335696650,335696650,335696650,최이선,335696650,335696650,335696650,335696650
896,살인소설,2018.4.25,392591200,49682,49682,434,5721,"(주)페퍼민트앤컴퍼니,리드미컬그린(주)","(주)스톰픽쳐스코리아,(주)페퍼민트앤컴퍼니",15세이상관람가,스릴러,김진묵,지현우,오만석,김진묵,392591200,392591200,392591200,392591200,"(주)페퍼민트앤컴퍼니,리드미컬그린(주)",392591200,392591200,392591200,392591200,지현우,392591200,392591200,392591200,392591200,오만석,392591200,392591200,392591200,392591200
117,살인자의 기억법,2017.9.6,21375287492,2658589,2658589,1064,88686,"(주)쇼박스,(주)더블유픽처스,(주)그린피쉬,영화사 이창",(주)쇼박스,15세이상관람가,"범죄,스릴러",원신연,설경구,김남길,원신연,21375287492,21375287492,21375287492,21375287492,"(주)쇼박스,(주)더블유픽처스,(주)그린피쉬,영화사 이창",21375287492,21375287492,21375287492,21375287492,설경구,29049304617,14524652309,7674017125,21375287492,김남길,21375287492,21375287492,21375287492,21375287492
431,상류사회,2018.8.29,5012916263,612196,612196,867,26622,(주)하이브미디어코프,롯데컬처웍스(주)롯데엔터테인먼트,청소년관람불가,드라마,변혁,박해일,수애,변혁,5012916263,5012916263,5012916263,5012916263,(주)하이브미디어코프,36239470782,12079823594,5012916263,21442169144,박해일,5012916263,5012916263,5012916263,5012916263,수애,5012916263,5012916263,5012916263,5012916263
784,"서서평, 천천히 평온하게",2017.4.26,881663400,123958,123958,234,4411,재단법인 온누리선교재단(CGNTV),커넥트픽쳐스(주),전체관람가,다큐멘터리,"홍주연,홍현정",윤안나,안은새,"홍주연,홍현정",881663400,881663400,881663400,881663400,재단법인 온누리선교재단(CGNTV),881663400,881663400,881663400,881663400,윤안나,881663400,881663400,881663400,881663400,안은새,881663400,881663400,881663400,881663400
577,석조저택 살인사건,2017.5.9,2829106886,353517,353517,539,17925,주식회사 영화사다,씨네그루(주)키다리이엔티,15세이상관람가,스릴러,"정식,김휘",고수,황인아,"정식,김휘",2829106886,2829106886,2829106886,2829106886,주식회사 영화사다,2829106886,2829106886,2829106886,2829106886,고수,3588587886,1794293943,759481000,2829106886,황인아,2829106886,2829106886,2829106886,2829106886
873,소공녀,2018.3.22,472553700,59125,59125,284,5745,"광화문시네마,(주)모토",CGV아트하우스,15세이상관람가,"멜로/로맨스,드라마",전고운,이솜,안재홍,전고운,472553700,472553700,472553700,472553700,"광화문시네마,(주)모토",472553700,472553700,472553700,472553700,이솜,472553700,472553700,472553700,472553700,안재홍,13123747423,6561873712,472553700,12651193723
656,속닥속닥,2018.7.13,1900914300,217444,217444,314,8246,(주)파이브데이,(주)그노스,15세이상관람가,"공포(호러),미스터리",최상훈,소주연,김민규,최상훈,1900914300,1900914300,1900914300,1900914300,(주)파이브데이,1900914300,1900914300,1900914300,1900914300,소주연,1900914300,1900914300,1900914300,1900914300,김민규,1900914300,1900914300,1900914300,1900914300
816,슈퍼 빼꼼: 스파이 대작전,2017.5.3,712734900,99752,99752,358,3352,(합)알지애니메이션스튜디오,메가박스중앙(주)플러스엠,전체관람가,"애니메이션,코미디",임아론,김태균,최정현,임아론,712734900,712734900,712734900,712734900,(합)알지애니메이션스튜디오,712734900,712734900,712734900,712734900,김태균,712734900,712734900,712734900,712734900,최정현,712734900,712734900,712734900,712734900
760,시간위의 집,2017.4.5,1020724600,128975,128975,454,10971,"리드미컬그린(주),자이온 이엔티(주),브릿지웍스 엔터테인먼트(주),라이브(주)","(주)리틀빅픽쳐스,(주)페퍼민트앤컴퍼니",15세이상관람가,"미스터리,스릴러",임대웅,김윤진,옥택연,임대웅,1020724600,1020724600,1020724600,1020724600,"리드미컬그린(주),자이온 이엔티(주),브릿지웍스 엔터테인먼트(주),라이브(주)",1020724600,1020724600,1020724600,1020724600,김윤진,1020724600,1020724600,1020724600,1020724600,옥택연,1020724600,1020724600,1020724600,1020724600
5,신과함께-인과 연,2018.8.1,1.01796E+11,12167147,12167147,2235,171788,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,하정우,주지훈,김용화,2.17502E+11,1.08751E+11,1.01796E+11,1.15706E+11,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",2.17502E+11,1.08751E+11,1.01796E+11,1.15706E+11,하정우,2.17502E+11,1.08751E+11,1.01796E+11,1.15706E+11,주지훈,1.01796E+11,1.01796E+11,1.01796E+11,1.01796E+11
2,신과함께-죄와 벌,2017.12.20,1.15706E+11,14411525,14411525,1912,213258,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,하정우,차태현,김용화,2.17502E+11,1.08751E+11,1.01796E+11,1.15706E+11,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",2.17502E+11,1.08751E+11,1.01796E+11,1.15706E+11,하정우,2.17502E+11,1.08751E+11,1.01796E+11,1.15706E+11,차태현,1.15706E+11,1.15706E+11,1.15706E+11,1.15706E+11
432,신비아파트: 금빛 도깨비와 비밀의 동굴,2018.7.25,4999149100,677777,677777,762,16117,"씨제이이앤엠(주),(주)칵테일 미디어",씨제이이앤엠(주),전체관람가,"애니메이션,판타지,어드벤처",김병갑,조현정,김영은,김병갑,4999149100,4999149100,4999149100,4999149100,"씨제이이앤엠(주),(주)칵테일 미디어",4999149100,4999149100,4999149100,4999149100,조현정,4999149100,4999149100,4999149100,4999149100,김영은,4999149100,4999149100,4999149100,4999149100
587,싱글라이더,2017.2.22,2685519021,351276,351276,576,16746,(주)퍼펙트스톰필름,워너브러더스 코리아(주),15세이상관람가,드라마,이주영,진남수,이병헌,이주영,2685519021,2685519021,2685519021,2685519021,(주)퍼펙트스톰필름,2685519021,2685519021,2685519021,2685519021,진남수,2685519021,2685519021,2685519021,2685519021,이병헌,2685519021,2685519021,2685519021,2685519021
428,아빠는 딸,2017.4.12,5054757395,647305,647305,586,33263,영화사김치(주),메가박스중앙(주)플러스엠,12세이상관람가,코미디,김형협,윤제문,정소민,김형협,5054757395,5054757395,5054757395,5054757395,영화사김치(주),5376819595,2688409798,322062200,5054757395,윤제문,5054757395,5054757395,5054757395,5054757395,정소민,5054757395,5054757395,5054757395,5054757395
96,아이 캔 스피크,2017.9.21,25539734986,3281433,3281433,1140,93053,"주식회사 영화사 시선,(주)명필름","롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",12세이상관람가,코미디,김현석,나문희,이제훈,김현석,25539734986,25539734986,25539734986,25539734986,"주식회사 영화사 시선,(주)명필름",25539734986,25539734986,25539734986,25539734986,나문희,25539734986,25539734986,25539734986,25539734986,이제훈,25539734986,25539734986,25539734986,25539734986
267,악녀,2017.6.8,9739662144,1208081,1208081,685,46070,(주)앞에있다,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,액션,정병길,김옥빈,신하균,정병길,9739662144,9739662144,9739662144,9739662144,(주)앞에있다,9739662144,9739662144,9739662144,9739662144,김옥빈,9739662144,9739662144,9739662144,9739662144,신하균,19524047519,9762023760,9739662144,9784385375
663,어느날,2017.4.5,1846581582,234829,234829,532,17748,(주)인벤트스톤,"오퍼스픽쳐스,CGV아트하우스",15세이상관람가,멜로/로맨스,이윤기,김남길,천우희,이윤기,1846581582,1846581582,1846581582,1846581582,(주)인벤트스톤,1846581582,1846581582,1846581582,1846581582,김남길,1846581582,1846581582,1846581582,1846581582,천우희,1846581582,1846581582,1846581582,1846581582
773,여교사,2017.1.4,961785460,118621,118621,393,6668,(주)외유내강,필라멘트픽쳐스,청소년관람불가,드라마,김태용,김하늘,유인영,김태용,961785460,961785460,961785460,961785460,(주)외유내강,961785460,961785460,961785460,961785460,김하늘,961785460,961785460,961785460,961785460,유인영,961785460,961785460,961785460,961785460
796,여중생A,2018.6.20,811692000,97850,97850,479,10272,"(주)영화사울림,네이버웹툰 주식회사",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,드라마,이경섭,김환희,김준면,이경섭,811692000,811692000,811692000,811692000,"(주)영화사울림,네이버웹툰 주식회사",811692000,811692000,811692000,811692000,김환희,811692000,811692000,811692000,811692000,김준면,811692000,811692000,811692000,811692000
991,역모-반란의 시대,2017.11.23,218173300,30116,30116,355,4100,"Picsso,(주)원픽쳐스",(주)스톰픽쳐스코리아,15세이상관람가,"사극,액션",김홍선,정해인,김지훈,김홍선,3544613072,1772306536,218173300,3326439772,"Picsso,(주)원픽쳐스",218173300,218173300,218173300,218173300,정해인,218173300,218173300,218173300,218173300,김지훈,218173300,218173300,218173300,218173300
337,염력,2018.1.31,7484684112,990111,990111,1099,45676,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"드라마,코미디",연상호,류승룡,심은경,연상호,7484684112,7484684112,7484684112,7484684112,(주)영화사레드피터,7484684112,7484684112,7484684112,7484684112,류승룡,11454021636,5727010818,3969337524,7484684112,심은경,27628676699,13814338350,7484684112,20143992587
538,원라인,2017.3.29,3319505433,435100,435100,613,20791,"(주)미인픽쳐스,(주)곽픽쳐스",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,범죄,양경모,임시완,진구,양경모,3319505433,3319505433,3319505433,3319505433,"(주)미인픽쳐스,(주)곽픽쳐스",3319505433,3319505433,3319505433,3319505433,임시완,3319505433,3319505433,3319505433,3319505433,진구,3319505433,3319505433,3319505433,3319505433
358,인랑,2018.7.25,6994722173,897544,897544,1085,25423,(주)루이스 픽쳐스,워너브러더스 코리아(주),15세이상관람가,"SF,액션",김지운,강동원,한효주,김지운,6994722173,6994722173,6994722173,6994722173,(주)루이스 픽쳐스,6994722173,6994722173,6994722173,6994722173,강동원,18407490971,9203745486,6994722173,11412768798,한효주,6994722173,6994722173,6994722173,6994722173
209,임금님의 사건수첩,2017.4.26,12651193723,1635003,1635003,1054,53005,"(주)영화사람,씨제이이앤엠(주),(주)더타워픽쳐스",씨제이이앤엠(주),12세이상관람가,"코미디,어드벤처,액션",문현성,이선균,안재홍,문현성,12651193723,12651193723,12651193723,12651193723,"(주)영화사람,씨제이이앤엠(주),(주)더타워픽쳐스",12651193723,12651193723,12651193723,12651193723,이선균,12651193723,12651193723,12651193723,12651193723,안재홍,13123747423,6561873712,472553700,12651193723
248,장산범,2017.8.17,10341783083,1306438,1306438,711,34769,(주)드림캡쳐,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"미스터리,스릴러",허정,염정아,박혁권,허정,10341783083,10341783083,10341783083,10341783083,(주)드림캡쳐,10341783083,10341783083,10341783083,10341783083,염정아,10341783083,10341783083,10341783083,10341783083,박혁권,10341783083,10341783083,10341783083,10341783083
137,재심,2017.2.15,19266319637,2421197,2421197,935,68402,(주)이디오플랜,"오퍼스픽쳐스,CGV아트하우스",15세이상관람가,드라마,김태윤,정우,강하늘,김태윤,19266319637,19266319637,19266319637,19266319637,(주)이디오플랜,19266319637,19266319637,19266319637,19266319637,정우,19266319637,19266319637,19266319637,19266319637,강하늘,19266319637,19266319637,19266319637,19266319637
766,저수지 게임,2017.9.7,985725100,125562,125562,289,7670,프로젝트 부,(주)스마일이엔티,15세이상관람가,다큐멘터리,최진성,주진우,,최진성,985725100,985725100,985725100,985725100,프로젝트 부,985725100,985725100,985725100,985725100,주진우,985725100,985725100,985725100,985725100,,985725100,985725100,985725100,985725100
132,조선명탐정: 흡혈괴마의 비밀,2018.2.8,19822839764,2444145,2444145,1249,74987,청년필름(주),(주)쇼박스,12세이상관람가,"사극,어드벤처,코미디",김석윤,김명민,오달수,김석윤,19822839764,19822839764,19822839764,19822839764,청년필름(주),19822839764,19822839764,19822839764,19822839764,김명민,28895577606,14447788803,9072737842,19822839764,오달수,19822839764,19822839764,19822839764,19822839764
128,조작된 도시,2017.2.9,20143992587,2515501,2515501,1019,62241,"(주)티피에스컴퍼니,(주)영화사심플렉스,컬쳐메이트",씨제이이앤엠(주),15세이상관람가,"범죄,액션",박광현,지창욱,심은경,박광현,20143992587,20143992587,20143992587,20143992587,"(주)티피에스컴퍼니,(주)영화사심플렉스,컬쳐메이트",20143992587,20143992587,20143992587,20143992587,지창욱,20143992587,20143992587,20143992587,20143992587,심은경,27628676699,13814338350,7484684112,20143992587
121,지금 만나러 갑니다,2018.3.14,20800916128,2602273,2602273,1191,97537,"(주)무비락,(주)도서관옆스튜디오,(주)푸른나무픽쳐스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,멜로/로맨스,이장훈,소지섭,손예진,이장훈,20800916128,20800916128,20800916128,20800916128,"(주)무비락,(주)도서관옆스튜디오,(주)푸른나무픽쳐스",20800916128,20800916128,20800916128,20800916128,소지섭,20800916128,20800916128,20800916128,20800916128,손예진,20800916128,20800916128,20800916128,20800916128
717,채비,2017.11.9,1260533864,177439,177439,480,9983,(주)26컴퍼니,오퍼스픽쳐스,12세이상관람가,드라마,조영준,고두심,김성균,조영준,1260533864,1260533864,1260533864,1260533864,(주)26컴퍼니,1260533864,1260533864,1260533864,1260533864,고두심,1260533864,1260533864,1260533864,1260533864,김성균,1260533864,1260533864,1260533864,1260533864
273,챔피언,2018.5.1,9471138230,1128774,1128774,874,47357,(주)코코너,워너브러더스 코리아(주),12세이상관람가,드라마,김용완,마동석,권율,김용완,9471138230,9471138230,9471138230,9471138230,(주)코코너,9471138230,9471138230,9471138230,9471138230,마동석,77576346577,25858782192,9471138230,56322098349,권율,9471138230,9471138230,9471138230,9471138230
43,청년경찰,2017.8.9,44382020516,5653444,5653444,1102,118547,"(주)무비락,(주)도서관옆스튜디오,베리굿스튜디오(주)",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션,김주환,김규백,박서준,김주환,44382020516,44382020516,44382020516,44382020516,"(주)무비락,(주)도서관옆스튜디오,베리굿스튜디오(주)",44382020516,44382020516,44382020516,44382020516,김규백,47763070716,23881535358,3381050200,44382020516,박서준,44382020516,44382020516,44382020516,44382020516
660,치즈인더트랩,2018.3.14,1890873700,229005,229005,364,14710,(주)마운틴무브먼트스토리,(주)리틀빅픽쳐스,15세이상관람가,"멜로/로맨스,스릴러",김제영,박해진,오연서,김제영,1890873700,1890873700,1890873700,1890873700,(주)마운틴무브먼트스토리,1890873700,1890873700,1890873700,1890873700,박해진,1890873700,1890873700,1890873700,1890873700,오연서,1890873700,1890873700,1890873700,1890873700
490,침묵,2017.11.2,3930219264,494097,494097,634,23228,(주)용필름,씨제이이앤엠(주),15세이상관람가,드라마,정지우,최민식,박신혜,정지우,3930219264,3930219264,3930219264,3930219264,(주)용필름,48259826777,16086608926,844714600,43484892913,최민식,14424988209,7212494105,3930219264,10494768945,박신혜,3930219264,3930219264,3930219264,3930219264
91,탐정: 리턴즈,2018.6.13,26909477678,3152874,3152874,1137,107946,(주)크리픽쳐스,씨제이이앤엠(주),15세이상관람가,"코미디,범죄",이언희,권상우,성동일,이언희,26909477678,26909477678,26909477678,26909477678,(주)크리픽쳐스,26909477678,26909477678,26909477678,26909477678,권상우,26909477678,26909477678,26909477678,26909477678,성동일,33593829980,11197943327,3326439772,26909477678
7,택시운전사,2017.8.2,95868830649,12189195,12189195,1906,184147,더램프(주),(주)쇼박스,15세이상관람가,드라마,장훈,이수민,송강호,장훈,95868830649,95868830649,95868830649,95868830649,더램프(주),95868830649,95868830649,95868830649,95868830649,이수민,95868830649,95868830649,95868830649,95868830649,송강호,95868830649,95868830649,95868830649,95868830649
550,터닝메카드W: 블랙미러의 부활,2017.1.18,3215588500,429933,429933,570,14146,㈜희원엔터테인먼트,씨네그루(주)키다리이엔티,전체관람가,애니메이션,"홍헌표,김석원",소연,윤아영,"홍헌표,김석원",3215588500,3215588500,3215588500,3215588500,㈜희원엔터테인먼트,3215588500,3215588500,3215588500,3215588500,소연,3215588500,3215588500,3215588500,3215588500,윤아영,3215588500,3215588500,3215588500,3215588500
246,특별시민,2017.4.26,10494768945,1362634,1362634,1154,46377,(주)팔레트픽처스,(주)쇼박스,15세이상관람가,드라마,박인제,최민식,곽도원,박인제,10494768945,10494768945,10494768945,10494768945,(주)팔레트픽처스,10494768945,10494768945,10494768945,10494768945,최민식,14424988209,7212494105,3930219264,10494768945,곽도원,45984435411,22992217706,10494768945,35489666466
101,프리즌,2017.3.23,23790276987,2931897,2931897,1047,89024,(주)큐로홀딩스,(주)쇼박스,청소년관람불가,"범죄,액션",나현,한석규,김래원,나현,23790276987,23790276987,23790276987,23790276987,(주)큐로홀딩스,23790276987,23790276987,23790276987,23790276987,한석규,23790276987,23790276987,23790276987,23790276987,김래원,23790276987,23790276987,23790276987,23790276987
281,하루,2017.6.15,9072737842,1129609,1129609,781,45808,(주)라인필름,CGV아트하우스,15세이상관람가,스릴러,조선호,김명민,변요한,조선호,9072737842,9072737842,9072737842,9072737842,(주)라인필름,9072737842,9072737842,9072737842,9072737842,김명민,28895577606,14447788803,9072737842,19822839764,변요한,9072737842,9072737842,9072737842,9072737842
259,해빙,2017.3.1,9905406822,1204600,1204600,915,46227,"위더스필름(주),(주)영화사불",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,스릴러,이수연,조진웅,신구,이수연,9905406822,9905406822,9905406822,9905406822,"위더스필름(주),(주)영화사불",9905406822,9905406822,9905406822,9905406822,조진웅,57114135450,14278533863,844714600,43484892913,신구,10227469022,5113734511,322062200,9905406822
601,허스토리,2018.6.27,2500814949,333441,333441,696,20391,(주)수필름,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,민규동,김희애,김해숙,민규동,2500814949,2500814949,2500814949,2500814949,(주)수필름,2500814949,2500814949,2500814949,2500814949,김희애,2500814949,2500814949,2500814949,2500814949,김해숙,5016294784,2508147392,2500814949,2515479835
532,흥부: 글로 세상을 바꾼 자,2018.2.14,3381050200,416303,416303,627,18707,"(주)영화사 궁,(주)발렌타인필름",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,사극,조근현,김규백,정우,조근현,3381050200,3381050200,3381050200,3381050200,"(주)영화사 궁,(주)발렌타인필름",3381050200,3381050200,3381050200,3381050200,김규백,47763070716,23881535358,3381050200,44382020516,정우,3381050200,3381050200,3381050200,3381050200
600,희생부활자,2017.10.12,2515479835,323628,323628,781,23596,"(주)영화사 신세계,(주)바른손이앤에이",(주)쇼박스,15세이상관람가,"미스터리,스릴러",곽경택,김래원,김해숙,곽경택,2515479835,2515479835,2515479835,2515479835,"(주)영화사 신세계,(주)바른손이앤에이",2515479835,2515479835,2515479835,2515479835,김래원,2515479835,2515479835,2515479835,2515479835,김해숙,5016294784,2508147392,2500814949,2515479835